Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
MX65,z,MXOnly-1U-Hotswap-Antishear,84.137501,-169.862501,0.0,top
MX66,x,MXOnly-1U-Hotswap-Antishear,103.187501,-169.862501,0.0,top
MX67,c,MXOnly-1U-Hotswap-Antishear,122.237501,-169.862501,0.0,top
MX68,v,MXOnly-1U-Hotswap-Antishear,141.287501,-169.862501,0.0,top
MX69,b,MXOnly-1U-Hotswap-Antishear,160.337501,-169.862501,0.0,top
MX70,n,MXOnly-1U-Hotswap-Antishear,179.387501,-169.862501,0.0,top
MX71,m,MXOnly-1U-Hotswap-Antishear,198.437501,-169.862501,0.0,top
MX72,",",MXOnly-1U-Hotswap-Antishear,217.487501,-169.862501,0.0,top
MX73,.,MXOnly-1U-Hotswap-Antishear,236.537501,-169.862501,0.0,top
MX74,/,MXOnly-1U-Hotswap-Antishear,255.587501,-169.862501,0.0,top
MX75,R_Shift,MXOnly-2.75U-Hotswap-Antishear,291.306251,-169.862501,0.0,top
MX76,Page Down,MXOnly-1U-Hotswap-Antishear,369.887501,-131.762501,0.0,top
MX77,L_Ctrl,MXOnly-1.5U-Hotswap-Antishear,46.037501,-188.912501,0.0,top
MX78,L_Win,MXOnly-1U-Hotswap-Antishear,69.850001,-188.912501,0.0,top
MX79,L_Alt,MXOnly-1.5U-Hotswap-Antishear,93.662501,-188.912501,0.0,top
MX80,Space,MXOnly-7U-Hotswap-Antishear-ReversedStabilizers,174.625001,-188.912501,0.0,top
MX81,R_Alt,MXOnly-1.5U-Hotswap-Antishear,255.587501,-188.912501,0.0,top
MX82,R_Win,MXOnly-1U-Hotswap-Antishear,279.400001,-188.912501,0.0,top
MX83,R_Ctrl,MXOnly-1.5U-Hotswap-Antishear,303.212501,-188.912501,0.0,top
MX84,Left,MXOnly-1U-Hotswap-Antishear,331.787501,-188.912501,0.0,top
MX85,Down,MXOnly-1U-Hotswap-Antishear,350.837501,-188.912501,0.0,top
MX86,Right,MXOnly-1U-Hotswap-Antishear,369.887501,-188.912501,0.0,top
R1,R_Small,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,349.567501,-98.615501,180.0,bottom
R2,R_Small,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,54.610001,-160.337501,180.0,bottom
U1,Teensy3.2,Teensy30_31_32_LC,323.786501,-161.925001,-90.0,top
